Step,AvgWaitTime
500,11.626050420168067
1000,12.712413261372397
1500,13.748811141304348
2000,14.06390262457208
2500,14.270822791215464
3000,14.24188790560472
3500,14.46035639564245
4000,14.43965680398713
4500,14.48522899265654
5000,14.511951588502269
5500,14.618827301878149
6000,14.62845866397951
6500,14.577546745286678
7000,14.638729884436763
7500,14.697191615157216
8000,14.760750487943083
8500,14.789470565579355
9000,14.802887844190732
9500,14.86717901152776
10000,14.903625377643504
10500,14.945344711861157
11000,14.984901862103674
11500,15.035811948983833
12000,15.0077561630052
12500,14.9389028686462
13000,14.917316662473146
13500,14.968434978664728
14000,15.009934072251065
14500,15.027797527181924
15000,15.036413626609441
15500,15.0121844376663
16000,14.995095496345202
16500,15.024477975918305
17000,15.022440828402367
17500,15.018377757022774
18000,15.026971533927425
18500,15.04424814839981
19000,15.047843977824527
19500,15.056008146639511
20000,15.057851343538697
20500,15.068893221024755
21000,15.057825124184571
21500,15.074393594014847
22000,15.097309954880346
22500,15.095407741618459
23000,15.087089514737048
23500,15.096508296270954
24000,15.11046213429633
24500,15.101822321126415
25000,15.070083408702644
25500,15.069729181238733
26000,15.085937047127702
26500,15.106098231380205
27000,15.116236883232865
27500,15.13331689362596
28000,15.150063685126383
28500,15.15483859596556
29000,15.150042005525675
29500,15.15334445882433
30000,15.1526700939431
30500,15.150117356392835
31000,15.15184488988997
31500,15.157459092213964
32000,15.173607949639724
32500,15.174621329211746
33000,15.174487807848031
33500,15.17849833189639
34000,15.179578088991313
34500,15.198694152072324
35000,15.206749843952906
35500,15.21575894751733
36000,15.221072160921786
36500,15.23586223026284
37000,15.23514283775531
37500,15.239871718476959
38000,15.243219493501945
38500,15.245694461652832
39000,15.2517092641473
39500,15.264291616347805
40000,15.274149207265788
40500,15.280010414148364
41000,15.278132921856056
41500,15.276971845470714
42000,15.281286612629414
42500,15.280590966552852
43000,15.288272350959545
43500,15.288084534190524
44000,15.285207309906486
44500,15.292047678951198
45000,15.299463928107237
45500,15.293453674791186
46000,15.28829531812725
46500,15.283412414373856
47000,15.28557237843467
47500,15.285688619273836
48000,15.286061651894267
48500,15.296163659040216
49000,15.294625980319337
49500,15.301584082104537
