Step,AvgWaitTime
500,3.9326107445805842
1000,3.854238062599954
1500,3.9212266987372217
2000,3.8879640044994375
2500,3.7774472687939427
3000,3.8663021496517116
3500,3.8854314002828856
4000,3.9131854520887286
4500,3.9699098291236985
5000,3.876217842230503
5500,3.846043753833572
6000,3.8566985197676598
6500,3.9265881218134213
7000,3.9525300281114233
7500,3.898429818550189
8000,3.9112819795889835
8500,3.9043375394321767
9000,3.8988965105875337
9500,3.8904822454554018
10000,3.8654035653498164
10500,3.8643460455592527
11000,3.8653924442273246
11500,3.8665862109238134
12000,3.8897565885115744
12500,3.9134857776268035
13000,3.894149219838635
13500,3.856080968972955
14000,3.858890505812931
14500,3.849634044655817
15000,3.880728335595091
15500,3.879869005712967
16000,3.8729602101262994
16500,3.8678871711418497
17000,3.8353940351570217
17500,3.847158277061592
18000,3.86433298502264
18500,3.879003860162877
19000,3.9028801544874363
19500,3.9185382303686542
20000,3.9576147096629968
20500,3.9701835862550148
21000,3.9517471944805265
21500,3.949020138137638
22000,3.9246941973826144
22500,3.9296466912752344
23000,3.959407009659439
23500,3.9753653802237956
24000,3.967569078794092
24500,3.9751733576642336
25000,3.970794632720381
25500,3.971931577194735
26000,3.9625065525449656
26500,3.955913597733711
27000,3.9627229464100973
27500,3.96664392019237
28000,3.9618039209428138
28500,3.9524925720646915
29000,3.9320165967423493
29500,3.9403460354527122
30000,3.945925798925076
30500,3.9347626834043363
31000,3.9254144842214624
31500,3.931963081292155
32000,3.93235925064112
32500,3.9203642144818613
33000,3.91609083943066
33500,3.9402914338733472
34000,3.9451313349204886
34500,3.9701486735982896
35000,3.9647041546683353
35500,3.962839411372248
36000,3.976677090313454
36500,3.980145740664827
37000,3.98316122373845
37500,4.015568555802203
38000,4.045809504797022
38500,4.040992917666423
39000,4.039143566451967
39500,4.040653345231506
40000,4.041707783483027
40500,4.048096887718854
41000,4.066696040993505
41500,4.068789863677641
42000,4.072559023556332
42500,4.068066949032451
43000,4.0777846370932185
43500,4.084177500717713
44000,4.085033151523754
44500,4.077541259750937
45000,4.066272887777976
45500,4.063683769027378
46000,4.0628718396661325
46500,4.073862845346968
47000,4.0733187009482545
47500,4.075944963874904
48000,4.064554706076695
48500,4.058020886597843
49000,4.063192500250782
49500,4.065004400117337
