Step,AvgWaitTime
500,7.562005277044855
1000,7.528150991682661
1500,7.4570221752903905
2000,7.5033269961977185
2500,7.463872104733132
3000,7.447128961405711
3500,7.467882490342287
4000,7.495391160482155
4500,7.496993006993007
5000,7.499748648988312
5500,7.486920841169431
6000,7.473881960027136
6500,7.472433734939759
7000,7.4672721578452865
7500,7.464176924681827
8000,7.46825831702544
8500,7.46789159731939
9000,7.486886559158511
9500,7.481874855691526
10000,7.49116862745098
10500,7.490750978692884
11000,7.487552399692018
11500,7.480242166407592
12000,7.480434953080482
12500,7.485820501871342
13000,7.486269774181862
13500,7.488545712491569
14000,7.4891599219783425
14500,7.490704628185127
15000,7.482901511029258
15500,7.476998117751827
16000,7.477662286722887
16500,7.4722428112587185
17000,7.474308592092397
17500,7.46827783745077
18000,7.467386007657501
18500,7.466864205892313
19000,7.4684170597354615
19500,7.4748568303197995
20000,7.473745294855709
20500,7.473797789953779
21000,7.475452698260922
21500,7.470976869002129
22000,7.472494584425949
22500,7.465250320209389
23000,7.46433191269182
23500,7.468119709391455
24000,7.470221073112129
24500,7.470694330740892
25000,7.468145120850466
25500,7.466959107441266
26000,7.466141314825525
26500,7.465669524091044
27000,7.466900370288686
27500,7.467232829866059
28000,7.467303321727253
28500,7.466066184961562
29000,7.4668129872095665
29500,7.466867149809789
30000,7.470304120100781
30500,7.468935093780849
31000,7.4668459959347535
31500,7.465358163052025
32000,7.464273819086617
32500,7.4641617159169815
33000,7.465247041392018
33500,7.464591461531985
34000,7.4645629367406015
34500,7.46448529344952
35000,7.464283475005151
35500,7.464368973190632
36000,7.464722737526019
36500,7.463203277308759
37000,7.4660971703150025
37500,7.464960165857166
38000,7.46632286810512
38500,7.4653282293533145
39000,7.464705173037501
39500,7.464903437819989
40000,7.4652347730657675
40500,7.4652228786459265
41000,7.465255896478938
41500,7.46221826092211
42000,7.463453959154425
42500,7.463902924796224
43000,7.462983344874084
43500,7.461792272723998
44000,7.461444761830136
44500,7.460960992683047
45000,7.459250955626884
45500,7.458259312814157
46000,7.459343668265039
46500,7.460398007938593
47000,7.458539966938623
47500,7.456983645476128
48000,7.456984020305761
48500,7.456494366060762
49000,7.4565284080015335
49500,7.457988510110597
50000,7.45787577912112
50500,7.455181265229442
51000,7.455386466460813
51500,7.457894992885202
52000,7.458848542157282
52500,7.459507672481684
53000,7.460057213107003
53500,7.4602894850866
54000,7.460994059773529
54500,7.459411619339896
55000,7.460403793034713
55500,7.460871626426467
56000,7.462192113404081
56500,7.4604774418166295
57000,7.461819201152047
57500,7.462530581997897
58000,7.463475648631418
58500,7.462957507324938
59000,7.461339959858549
59500,7.4607483376416885
60000,7.462076239107394
60500,7.463500662965111
61000,7.463338709843122
61500,7.464215846103684
62000,7.4655302245425
62500,7.464526671411815
63000,7.464677156269892
63500,7.464363064080869
64000,7.464018247853626
64500,7.465291945982707
65000,7.465602089950788
65500,7.4655139426986175
66000,7.464213503944109
66500,7.464142731991296
67000,7.4640275998765855
67500,7.4648074245939675
68000,7.464711464052769
68500,7.4635664089468845
69000,7.463942045825919
69500,7.463799528652604
70000,7.46390493362624
70500,7.464038844267539
71000,7.463926392815713
71500,7.464946556859997
72000,7.465505766076936
72500,7.465195546896263
73000,7.464846917107447
73500,7.466632568250112
74000,7.467374232141874
74500,7.4672536454917
75000,7.467157583453069
75500,7.467076874564344
76000,7.466952145833419
76500,7.468643134171264
77000,7.468204047423368
77500,7.467518029817923
78000,7.467828364384244
78500,7.467670031170552
