Step,AvgWaitTime
500,8.886405959031658
1000,8.971647164716472
1500,8.986947493325422
2000,9.01641162120204
2500,9.027595966743322
3000,9.053252692137484
3500,9.080647200101126
4000,9.082284073337751
4500,9.096511056511057
