Step,AvgWaitTime
500,0.7559769167353668
1000,0.7188771358828315
1500,0.6756316218418907
2000,0.6706050112039111
2500,0.6571985067359195
3000,0.6452974002994419
3500,0.6401073261782548
4000,0.6405369402602725
4500,0.6380597014925373
5000,0.6326530612244898
5500,0.6406226834692365
6000,0.6380093565665469
6500,0.6401752190237797
7000,0.642024699947817
7500,0.6403138528138528
8000,0.6466184430168446
8500,0.6508962959440825
9000,0.6560689748080291
9500,0.6585282858358146
10000,0.6523217683494595
10500,0.6533755355695372
11000,0.6605017868327009
11500,0.6609189322613632
12000,0.6627942318732903
12500,0.6678329607671624
13000,0.6651709201956935
13500,0.6649266492664927
14000,0.6623459290550315
14500,0.6646087660977177
15000,0.6646323350706165
15500,0.6610094142259414
16000,0.6626472450918303
16500,0.6598550902615744
17000,0.6591055456171735
17500,0.6589809477510012
18000,0.6604974363587299
18500,0.6579805272946068
19000,0.6591789805391134
19500,0.6588267043095574
20000,0.6567557166872582
20500,0.6546847843261179
21000,0.653422782565111
21500,0.6514213685022482
22000,0.649849175985874
22500,0.6497778737027644
23000,0.6490937884919936
23500,0.6501944989500499
24000,0.649136710055979
24500,0.6494681905265244
25000,0.6506082567620034
25500,0.6522793942757472
26000,0.6504013190642111
26500,0.6493829420468934
27000,0.6492525028807447
27500,0.6493413032942179
28000,0.6497656644314659
28500,0.649735839435702
29000,0.6503750504474164
29500,0.6524627814460895
30000,0.6537474642986687
30500,0.6540727628206822
31000,0.6560737216979906
31500,0.6573708235835667
32000,0.6560875203001272
32500,0.658269414257568
33000,0.6569992313229785
33500,0.6585301395862865
34000,0.6593476794946114
34500,0.6597592102656146
35000,0.6612884703720716
35500,0.6618191283484796
36000,0.6607168770860543
36500,0.6612638602904742
37000,0.6609834498935754
37500,0.6612129004607308
38000,0.6594551705897911
38500,0.6581168017378227
39000,0.6579845536754622
39500,0.6584074760266303
40000,0.6582592786199687
40500,0.6574151280524122
41000,0.6571890620405763
41500,0.6577118184634448
42000,0.6593117563793565
42500,0.6593441910145283
43000,0.6596581356248833
43500,0.6583164759239246
44000,0.6569717004392414
44500,0.6561523314002854
45000,0.6555419610084574
45500,0.6555316028484088
46000,0.6563474523711772
46500,0.6557123475886384
47000,0.6563808514638273
47500,0.6565242386838234
48000,0.6554312444039062
48500,0.655063317348705
49000,0.6560349347840335
49500,0.6554806576951467
